1ch,2ch,3ch,4ch,5ch,6ch,7ch,8ch,class
8.75,23.27,12.84,17.5,7.95,2.02,1.79,4.72,oya
8.75,23.06,12.84,17.61,7.45,2.13,1.9,4.82,oya
8.85,23.04,12.74,18.01,7.56,2.05,1.79,5.74,oya
8.82,23.1,13.22,17.59,6.78,2.32,1.79,5.89,oya
9.29,23.22,13.24,17.74,6.98,2.48,1.83,5.96,oya
9.21,23.22,13.5,17.83,6.63,2.41,1.9,6.35,oya
9.09,23.22,13.57,17.85,6.57,2.41,1.9,6.24,oya
9.26,20.03,13.61,18.12,7.01,2.38,1.91,6.24,oya
7.12,19.86,11.97,17.97,7.07,2.14,1.8,6.29,oya
6.43,18.94,12,17.68,7.32,2.18,1.86,6.39,oya
6.03,18.96,11.98,13.32,7.53,2.21,1.9,6.41,oya
5.97,18.93,12.93,13.32,7.17,2.21,1.9,6.4,oya
5.97,18.96,11.57,12.22,7.05,2.3,1.94,6.47,oya
5.83,18.85,10.23,12.22,7.04,2.26,1.94,6.45,oya
5.83,18.54,11.45,12.02,6.73,2.27,1.94,7.61,oya
5.55,12.06,11.54,10.71,6.65,2.24,2.05,6.89,oya
5.48,9.83,12.44,10.93,6.64,2.27,2.06,7.02,oya
5.84,9.37,12.44,10.84,6.91,2.27,2.02,6.9,oya
5.57,9.04,12.74,11.46,8.18,2.3,2.07,6.91,oya
5.54,8.11,11.86,11.59,8.18,2.27,2.02,7.14,oya
5.29,8.59,11.95,11.61,8.25,2.28,1.92,7.21,oya
5.4,11.95,12.36,10.72,8.2,2.18,1.8,7.37,oya
5.27,11.91,12.98,10.18,8.49,2.26,2.11,6.67,oya
5.17,17.52,13.25,10.02,8.19,2.38,2.54,6.72,oya
4.28,17.35,13.23,9.66,8,2.25,2.54,6.72,oya
4.25,17.36,13.28,8.85,8.03,2.19,2.49,6.29,oya
4.44,17.38,13.28,9.21,8.02,2.19,2.52,6.57,oya
4.07,17.36,14.24,9.59,7.48,2.36,2.52,6.58,oya
3.54,17.21,14.49,9.87,7.55,2.31,2.55,6.52,oya
3.81,17.07,14.45,9.68,7.55,2.27,2.55,6.43,oya
3.87,16.96,14.58,9.75,7.14,2.32,2.52,6.49,oya
4.38,17.08,13.55,9.84,7.09,2.41,2.55,7.63,oya
4.42,17.38,13.55,9.29,7.15,2.32,2.52,7.6,oya
4.44,19.15,13.29,10.73,7.27,2.33,2.44,7.59,oya
4.52,18.93,12.45,15.33,7.96,2.33,2.47,6.43,oya
4.78,19.19,14.17,15.65,7.66,2.32,2.42,6.26,oya
5.06,19.59,13.7,15.5,8.19,2.32,2.42,6.18,oya
4.73,19.54,13.96,15.78,7.96,2.32,2.42,6.15,oya
4.75,19.48,13.78,18.35,8.08,2.29,2.63,6.14,oya
4.73,19.54,13.83,18.42,8.09,2.45,2.64,5.8,oya
4.76,19.3,13.69,18.51,8.03,2.45,2.63,5.7,oya
5.59,17.35,13.3,18.51,8.06,2.49,2.63,5.33,oya
5.71,18.07,12.63,18.6,7.6,2.42,2.39,5.33,oya
5.8,12.86,11.82,18.69,7.71,2.06,1.8,5.12,oya
5.87,12.86,12.11,18.67,7.87,2.02,1.76,5.04,oya
6.18,13,12.16,19.33,9.43,2.39,1.76,5,oya
6.05,13.19,12.05,20.44,10.07,2.4,1.76,4.6,oya
6.05,13.13,10.56,19.97,10.13,2.22,1.76,4.63,oya
6.07,12.92,10.24,19.8,10.04,2.27,1.7,4.65,oya
5.88,12.88,10.19,19.87,9.84,2.27,1.7,4.78,oya
5.86,12.96,10,19.84,10.41,2.35,1.7,4.7,oya
5.43,12.83,10.2,21.72,10.41,2.35,1.99,3.29,oya
5.36,12.39,12.07,21.75,10.37,2.38,1.97,3.11,oya
5.42,9.43,12.1,21.13,10.31,2.41,1.97,3.17,oya
